state,county,"2020","2021","2022","2023"
 Alabama,Autauga County,"58,915","59,203","59,726","60,342"
 Alabama,Baldwin County,"233,227","239,439","246,531","253,507"
 Alabama,Barbour County,"24,969","24,533","24,700","24,585"
 Alabama,Bibb County,"22,188","22,359","21,986","21,868"
 Alabama,Blount County,"59,107","59,079","59,516","59,816"
 Alabama,Bullock County,"10,229","10,143","10,143","9,897"
 Alabama,Butler County,"19,025","18,890","18,668","18,382"
 Alabama,Calhoun County,"116,243","115,678","115,780","116,429"
 Alabama,Chambers County,"34,651","34,488","34,164","34,079"
 Alabama,Cherokee County,"24,969","25,074","25,353","25,666"
 Alabama,Chilton County,"45,057","45,259","45,848","46,431"
 Alabama,Choctaw County,"12,626","12,548","12,431","12,252"
 Alabama,Clarke County,"22,987","22,740","22,574","22,337"
 Alabama,Clay County,"14,212","14,170","14,183","14,111"
 Alabama,Cleburne County,"15,064","15,156","15,372","15,639"
 Alabama,Coffee County,"53,549","54,199","54,840","55,643"
 Alabama,Colbert County,"57,304","57,644","57,993","58,361"
 Alabama,Conecuh County,"11,554","11,320","11,224","11,174"
 Alabama,Coosa County,"10,335","10,314","10,307","10,268"
 Alabama,Covington County,"37,506","37,570","37,603","37,952"
 Alabama,Crenshaw County,"13,163","13,069","13,048","13,101"
 Alabama,Cullman County,"88,136","89,639","90,663","92,016"
 Alabama,Dale County,"49,257","49,395","49,495","49,871"
 Alabama,Dallas County,"38,171","37,515","36,729","36,165"
 Alabama,DeKalb County,"71,659","71,912","72,082","72,569"
 Alabama,Elmore County,"87,861","88,789","89,600","90,441"
 Alabama,Escambia County,"36,685","36,660","36,636","36,558"
 Alabama,Etowah County,"103,453","103,010","102,903","103,241"
 Alabama,Fayette County,"16,331","16,127","16,082","15,967"
 Alabama,Franklin County,"32,078","31,998","31,910","31,802"
 Alabama,Geneva County,"26,698","26,620","26,760","26,988"
 Alabama,Greene County,"7,700","7,614","7,452","7,341"
 Alabama,Hale County,"14,772","14,726","14,599","14,888"
 Alabama,Henry County,"17,169","17,433","17,670","17,899"
 Alabama,Houston County,"107,284","107,470","108,047","108,462"
 Alabama,Jackson County,"52,545","52,719","52,923","53,467"
 Alabama,Jefferson County,"674,717","669,990","665,084","662,895"
 Alabama,Lamar County,"13,953","13,736","13,706","13,661"
 Alabama,Lauderdale County,"94,025","94,853","95,875","96,814"
 Alabama,Lawrence County,"33,089","33,073","33,187","33,502"
 Alabama,Lee County,"174,754","177,596","180,698","183,215"
 Alabama,Limestone County,"104,203","107,303","110,868","114,654"
 Alabama,Lowndes County,"10,285","9,945","9,783","9,717"
 Alabama,Macon County,"19,464","18,905","18,532","18,370"
 Alabama,Madison County,"390,503","396,671","403,605","412,600"
 Alabama,Marengo County,"19,270","18,985","18,791","18,684"
 Alabama,Marion County,"29,176","29,001","29,182","29,244"
 Alabama,Marshall County,"97,702","98,286","99,428","100,756"
 Alabama,Mobile County,"414,377","413,383","411,398","411,640"
 Alabama,Monroe County,"19,706","19,550","19,412","19,229"
 Alabama,Montgomery County,"228,342","226,935","226,301","224,980"
